mysql> select Track.Name as 'Track Name', Genre.Name as Genre from Track join Genre on Track.GenreId = Genre.GenreId where Genre.Name = 'Jazz';
+--------------------------------------------------------------+-------+
| Track Name                                                   | Genre |
+--------------------------------------------------------------+-------+
| Desafinado                                                   | Jazz  |
| Garota De Ipanema                                            | Jazz  |
| Samba De Uma Nota Só (One Note Samba)                        | Jazz  |
| Por Causa De Você                                            | Jazz  |
| Ligia                                                        | Jazz  |
| Fotografia                                                   | Jazz  |
| Dindi (Dindi)                                                | Jazz  |
| Se Todos Fossem Iguais A Você (Instrumental)                 | Jazz  |
| Falando De Amor                                              | Jazz  |
| Angela                                                       | Jazz  |
| Corcovado (Quiet Nights Of Quiet Stars)                      | Jazz  |
| Outra Vez                                                    | Jazz  |
| O Boto (Bôto)                                                | Jazz  |
| Canta, Canta Mais                                            | Jazz  |
| Quadrant                                                     | Jazz  |
| Snoopy's search-Red baron                                    | Jazz  |
| Spanish moss-"A sound portrait"-Spanish moss                 | Jazz  |
| Moon germs                                                   | Jazz  |
| Stratus                                                      | Jazz  |
| The pleasant pheasant                                        | Jazz  |
| Solo-Panhandler                                              | Jazz  |
| Do what cha wanna                                            | Jazz  |
| Heart of the Night                                           | Jazz  |
| De La Luz                                                    | Jazz  |
| Westwood Moon                                                | Jazz  |
| Midnight                                                     | Jazz  |
| Playtime                                                     | Jazz  |
| Surrender                                                    | Jazz  |
| Valentino's                                                  | Jazz  |
| Believe                                                      | Jazz  |
| As We Sleep                                                  | Jazz  |
| When Evening Falls                                           | Jazz  |
| J Squared                                                    | Jazz  |
| Best Thing                                                   | Jazz  |
| Now's The Time                                               | Jazz  |
| Jeru                                                         | Jazz  |
| Compulsion                                                   | Jazz  |
| Tempus Fugit                                                 | Jazz  |
| Walkin'                                                      | Jazz  |
| 'Round Midnight                                              | Jazz  |
| Bye Bye Blackbird                                            | Jazz  |
| New Rhumba                                                   | Jazz  |
| Generique                                                    | Jazz  |
| Summertime                                                   | Jazz  |
| So What                                                      | Jazz  |
| The Pan Piper                                                | Jazz  |
| Someday My Prince Will Come                                  | Jazz  |
| My Funny Valentine (Live)                                    | Jazz  |
| E.S.P.                                                       | Jazz  |
| Nefertiti                                                    | Jazz  |
| Petits Machins (Little Stuff)                                | Jazz  |
| Miles Runs The Voodoo Down                                   | Jazz  |
| Little Church (Live)                                         | Jazz  |
| Black Satin                                                  | Jazz  |
| Jean Pierre (Live)                                           | Jazz  |
| Time After Time                                              | Jazz  |
| Portia                                                       | Jazz  |
| Jeepers Creepers                                             | Jazz  |
| Blue Rythm Fantasy                                           | Jazz  |
| Drum Boogie                                                  | Jazz  |
